"Iteration","Mean squared error"
0,0.166976
1,0.10061
2,0.0829114
3,0.08433
4,0.0830499
5,0.0716181
6,0.0658126
7,0.0581961
8,0.0546832
9,0.0540197
10,0.0490106
11,0.0472728
12,0.0538818
13,0.0426774
14,0.0445806
15,0.0484626
16,0.04164
17,0.0434104
18,0.0441134
19,0.0416909
20,0.0373601
21,0.0379162
22,0.036673
23,0.0356658
24,0.0407533
25,0.0390258
26,0.0341409
27,0.0386943
28,0.0371143
29,0.0432482
30,0.0370611
31,0.0394021
32,0.0360538
33,0.0292992
34,0.0346792
35,0.0296272
36,0.0355191
37,0.0376975
38,0.0331761
39,0.0455015
40,0.0340279
41,0.0345447
42,0.0358497
43,0.0346021
44,0.0374665
45,0.0367741
46,0.0371958
47,0.0338821
48,0.0367957
49,0.0345393
50,0.0356854
51,0.0321839
52,0.0320144
53,0.0367073
54,0.0365788
55,0.0335657
56,0.0409729
57,0.0317273
58,0.0392319
59,0.0364396
60,0.032779
61,0.0403051
62,0.0342786
63,0.0323748
64,0.0442397
65,0.0292903
66,0.0328202
67,0.0362151
68,0.0341075
69,0.0304099
70,0.0409972
71,0.0288209
72,0.032613
73,0.0393675
74,0.0392557
75,0.0309366
76,0.04464
77,0.029237
78,0.0311583
79,0.0359569
80,0.033679
81,0.0325103
82,0.0367314
83,0.0297547
84,0.0303404
85,0.0361238
86,0.037881
87,0.0306486
88,0.0334602
89,0.0265392
90,0.0288223
91,0.0359546
92,0.0331868
93,0.0295691
94,0.0326592
95,0.0284731
96,0.0288639
97,0.0349516
98,0.0322234
99,0.0264057
100,0.0312011
101,0.0283372
102,0.0276979
103,0.0339878
104,0.0332119
105,0.0270518
106,0.0302384
107,0.0321405
108,0.0271071
109,0.0369201
110,0.0363543
111,0.0262694
112,0.0335851
113,0.0295702
114,0.0292722
115,0.0308153
116,0.0296879
117,0.0253796
118,0.0298321
119,0.0310865
120,0.0270519
121,0.0339245
122,0.0333266
123,0.0261851
124,0.0306954
125,0.0295846
126,0.0259143
127,0.0344918
128,0.0328196
129,0.0236901
130,0.0297975
131,0.0266932
132,0.0258592
133,0.0311967
134,0.0290562
135,0.0231145
136,0.0256661
137,0.0258603
138,0.0256341
139,0.0310364
140,0.0277846
141,0.0238246
142,0.0287424
143,0.0252507
144,0.0245615
145,0.0301731
146,0.030562
147,0.0265875
148,0.029198
149,0.0279759
150,0.0244079
151,0.0262813
152,0.0253047
153,0.0265794
154,0.0265264
155,0.0263446
156,0.0260916
157,0.0242778
158,0.0262405
159,0.0237061
160,0.0224641
161,0.02563
162,0.0259301
163,0.0252999
164,0.0238526
165,0.0248519
166,0.0241529
167,0.0253722
168,0.024878
169,0.0268778
170,0.0237253
171,0.0258698
172,0.0241674
173,0.0238756
174,0.0243789
175,0.0268481
176,0.0235846
177,0.0255205
178,0.0239625
179,0.0239949
180,0.0239748
181,0.0266112
182,0.0234829
183,0.0250213
184,0.0239551
185,0.0240406
186,0.0242413
187,0.0261054
188,0.0244469
189,0.0233671
190,0.0250066
191,0.0236938
192,0.0238111
193,0.0236
194,0.0260088
195,0.0232843
196,0.0248421
197,0.0235089
198,0.0235894
199,0.0234891
200,0.0257332
201,0.0231592
202,0.0246738
203,0.0231656
204,0.0230928
205,0.0233605
206,0.0257787
207,0.0231406
208,0.0243566
209,0.0231925
210,0.0232343
211,0.0232894
212,0.0254521
213,0.0230945
214,0.0243598
215,0.0229187
216,0.0227948
217,0.023258
218,0.0254793
219,0.0230685
220,0.0240953
221,0.0227158
222,0.0229489
223,0.023122
224,0.0251435
225,0.0229778
226,0.023975
227,0.022842
228,0.0225884
229,0.0231288
230,0.0252813
231,0.0228871
232,0.0239709
233,0.0225933
234,0.0224801
235,0.0230201
236,0.0249802
237,0.0228159
238,0.0238341
239,0.0225104
240,0.0222771
241,0.0235702
242,0.0247768
243,0.0226916
244,0.0235901
245,0.0230497
246,0.0222075
247,0.0230715
248,0.0232902
249,0.0225619
250,0.023564
251,0.0226438
252,0.0221349
253,0.0234641
254,0.0247325
255,0.0225178
256,0.0221171
257,0.0221151
258,0.0220255
259,0.0231641
260,0.0233784
261,0.0228439
262,0.0225041
263,0.0230805
264,0.0228677
265,0.0220036
266,0.0228102
267,0.0230041
268,0.0223791
269,0.023001
270,0.0225712
271,0.0220548
272,0.0226377
273,0.0229173
274,0.0223652
275,0.0231275
276,0.0220376
277,0.0223897
278,0.022615
279,0.0237459
280,0.0228827
281,0.0221492
282,0.0218074
283,0.0229265
284,0.0221816
285,0.0232856
286,0.0227596
287,0.0230219
288,0.022208
289,0.0230016
290,0.0220329
291,0.0218156
292,0.0223335
293,0.0239344
294,0.0221398
295,0.0228953
296,0.0221486
297,0.0218705
298,0.0222181
299,0.0236289
300,0.021988
301,0.0222503
302,0.0219483
303,0.0215489
304,0.0226446
305,0.0231775
306,0.0221892
307,0.0220883
308,0.0223439
309,0.0221092
310,0.021889
311,0.0221884
312,0.0227155
313,0.0220522
314,0.0223511
315,0.0222066
316,0.0217866
317,0.0224087
318,0.0222147
319,0.0224282
320,0.0220016
321,0.0223165
322,0.0221589
323,0.0218053
324,0.0220932
325,0.0226296
326,0.0221228
327,0.0218954
328,0.0221903
329,0.0224708
330,0.0218264
331,0.0222778
332,0.0221669
333,0.0221161
334,0.0219204
335,0.022374
336,0.0222224
337,0.021745
338,0.0220188
339,0.0226382
340,0.0218905
341,0.0223326
342,0.0221568
343,0.0217087
344,0.02201
345,0.0225918
346,0.0218741
347,0.0223054
348,0.0221485
349,0.0217296
350,0.0219857
351,0.0223203
352,0.0218627
353,0.0221673
354,0.0221318
355,0.0216935
356,0.0219253
357,0.0223937
358,0.0218529
359,0.0221421
360,0.0221312
361,0.0217381
362,0.0219216
363,0.0223495
364,0.0218177
365,0.0221353
366,0.0220925
367,0.0217178
368,0.0218937
369,0.0223254
